Candidate_ID,Role_Applied,Department,Source,Application_Date,Screening_Date,Interview_Date,Offer_Date,Hire_Date,Final_Status
C00001,Marketing Specialist,Tech,Referral,2025-03-28,2025-04-05,2025-04-19,2025-04-27,2025-05-16,Hired
C00002,Software Engineer,Sales,Company Website,2025-08-17,2025-08-19,2025-08-20,2025-08-27,2025-09-07,Hired
C00003,Software Engineer,Tech,LinkedIn,2024-01-02,2024-01-10,2024-01-18,,,Rejected
C00004,Marketing Specialist,Sales,Naukri,2023-09-28,,,,,Dropped
C00005,Product Manager,Tech,Naukri,2024-11-02,2024-11-05,2024-11-17,2024-11-26,2024-12-11,Hired
C00006,Data Scientist,Marketing,AngelList,2024-12-29,2025-01-07,2025-01-12,,,Dropped
C00007,Data Scientist,Sales,Company Website,2025-05-17,2025-05-18,2025-05-28,,,Dropped
C00008,Data Scientist,Product,Company Website,2025-08-15,2025-08-17,,,,Rejected
C00009,Marketing Specialist,Tech,LinkedIn,2025-04-28,2025-05-03,2025-05-15,2025-05-17,,Dropped
C00010,Software Engineer,Sales,AngelList,2024-10-20,2024-10-29,2024-11-11,2024-11-17,,Dropped
C00011,Marketing Specialist,HR,Referral,2024-05-28,2024-05-31,2024-06-05,2024-06-13,2024-06-20,Hired
C00012,Marketing Specialist,Tech,Referral,2025-02-14,2025-02-23,2025-03-09,2025-03-15,2025-03-21,Hired
C00013,Sales Executive,Tech,LinkedIn,2025-03-24,2025-04-01,2025-04-10,2025-04-18,2025-05-03,Hired
C00014,Software Engineer,Marketing,Company Website,2024-03-31,,,,,Hired
C00015,Sales Executive,Marketing,Referral,2024-04-14,2024-04-23,2024-05-04,,,Hired
C00016,HR Manager,Marketing,Referral,2024-11-05,2024-11-11,2024-11-14,,,Rejected
C00017,Software Engineer,Sales,LinkedIn,2025-08-05,2025-08-14,2025-08-23,2025-08-26,,Rejected
C00018,Software Engineer,Product,LinkedIn,9999-99-99,2025-06-24,2025-06-25,2025-07-02,2025-07-16,Hired
C00019,Software Engineer,Tech,Company Website,2023-11-28,2023-12-01,2023-12-07,2023-12-11,,Rejected
C00020,Data Scientist,Sales,LinkedIn,2023-11-09,2023-11-13,2023-11-24,2023-12-02,,Dropped
C00021,Data Scientist,Tech,LinkedIn,2025-04-03,,,,,Rejected
C00022,Sales Executive,Product,AngelList,2025-01-28,2025-02-06,,,,Rejected
C00023,Sales Executive,Marketing,Naukri,2024-09-30,2024-10-01,2024-10-05,2024-10-13,,Dropped
C00024,Software Engineer,Sales,Referral,2023-12-27,,,,,Hired
C00025,Sales Executive,Product,AngelList,2024-10-07,2024-10-17,2024-10-18,2024-10-22,,Dropped
C00026,Data Scientist,HR,AngelList,2025-07-07,2025-07-08,2025-07-17,2025-07-24,,Rejected
C00027,Marketing Specialist,HR,LinkedIn,2023-12-06,2023-12-13,2023-12-23,,,Dropped
C00028,Marketing Specialist,Tech,AngelList,2024-04-21,,,,,Hired
C00029,Marketing Specialist,Sales,Company Website,2024-12-02,2024-12-03,2024-12-18,2024-12-22,,Rejected
C00030,Sales Executive,Sales,AngelList,2024-04-27,2024-05-02,2024-05-13,2024-05-20,2024-06-05,Hired
C00031,HR Manager,Tech,Company Website,2024-07-06,2024-07-15,2024-07-22,2024-07-25,,Dropped
C00032,Data Scientist,Tech,Naukri,2025-08-31,2025-09-06,,,,Dropped
C00033,HR Manager,Product,Referral,2024-05-20,2024-05-25,2024-05-30,2024-06-06,,Dropped
C00034,Sales Executive,Product,Referral,2024-01-25,2024-01-28,2024-02-04,2024-02-09,,Rejected
C00035,Product Manager,Marketing,Company Website,2023-09-26,,,,,Hired
C00036,Software Engineer,Tech,LinkedIn,2023-10-26,2023-10-29,2023-11-06,2023-11-11,,Dropped
C00037,Data Scientist,Marketing,Naukri,2023-11-29,2023-12-09,2023-12-23,2023-12-24,2023-12-31,Hired
C00038,Marketing Specialist,Sales,Referral,2023-11-06,2023-11-09,2023-11-10,,,Hired
C00039,HR Manager,HR,Naukri,2024-09-13,2024-09-20,2024-09-24,,,Rejected
C00040,Product Manager,HR,AngelList,2024-07-22,2024-07-29,2024-08-13,,,Rejected
C00041,Product Manager,Marketing,Company Website,2023-10-18,2023-10-24,2023-10-28,,,Dropped
C00042,Data Scientist,Tech,Naukri,2025-05-03,2025-05-04,2025-05-12,2025-05-17,2025-05-19,Hired
C00043,Data Scientist,Tech,AngelList,2024-03-28,2024-04-01,2024-04-08,2024-04-11,2024-04-16,Hired
C00044,Product Manager,HR,AngelList,2023-12-21,2023-12-28,2024-01-03,,,Hired
C00045,Software Engineer,HR,LinkedIn,2025-07-26,2025-08-04,2025-08-17,2025-08-27,,Rejected
C00046,Software Engineer,Marketing,AngelList,2024-05-18,2024-05-19,2024-05-25,2024-05-29,,Dropped
C00047,HR Manager,Marketing,AngelList,2025-03-01,2025-03-08,2025-03-12,,,Hired
C00048,Software Engineer,Sales,Naukri,2024-05-09,2024-05-13,2024-05-18,,,Hired
C00049,Product Manager,HR,Company Website,2023-09-23,2023-09-29,2023-10-02,2023-10-11,,Rejected
C00050,Product Manager,Tech,Referral,2024-05-30,2024-06-02,2024-06-16,2024-06-20,2024-07-06,Hired
C00051,Sales Executive,Sales,LinkedIn,2024-08-28,2024-08-31,2024-09-10,,,Rejected
C00052,Product Manager,Marketing,Company Website,2025-09-12,,,,,Dropped
C00053,Software Engineer,Marketing,LinkedIn,2025-03-26,2025-04-03,2025-04-15,2025-04-16,,Dropped
C00054,Marketing Specialist,Sales,Referral,2023-12-18,,,,,Dropped
C00055,HR Manager,Product,LinkedIn,2023-11-18,2023-11-23,,,,Dropped
C00056,Sales Executive,HR,Referral,2023-11-17,2023-11-18,2023-11-26,,,Dropped
C00057,Software Engineer,Sales,Naukri,2024-04-15,2024-04-19,2024-04-23,2024-05-02,,Dropped
C00058,HR Manager,Tech,Naukri,2025-01-31,2025-02-09,2025-02-14,2025-02-16,2025-02-21,Hired
C00059,Software Engineer,Sales,Referral,2025-01-27,2025-02-04,2025-02-15,2025-02-20,2025-03-07,Hired
C00060,Sales Executive,Product,Company Website,2025-02-11,2025-02-13,2025-02-26,2025-03-04,2025-03-08,Hired
C00061,Product Manager,HR,Company Website,2025-07-28,2025-08-04,2025-08-11,2025-08-18,,Rejected
C00062,Marketing Specialist,Marketing,Company Website,2024-06-02,2024-06-08,2024-06-20,2024-06-23,,Dropped
C00063,Sales Executive,Marketing,Referral,2024-09-02,,,,,Hired
C00064,Product Manager,Marketing,Company Website,2024-03-30,2024-04-08,2024-04-16,2024-04-19,2024-05-03,Hired
C00065,Sales Executive,Marketing,AngelList,2024-06-22,2024-06-28,2024-07-01,2024-07-09,2024-07-16,Hired
C00066,Data Scientist,Sales,LinkedIn,2024-06-21,2024-07-01,2024-07-10,2024-07-14,,Dropped
C00067,Marketing Specialist,Product,Company Website,2024-09-21,2024-09-24,2024-10-03,,,Dropped
C00068,Software Engineer,Product,Company Website,2025-03-06,2025-03-07,2025-03-15,2025-03-25,,Rejected
C00069,Software Engineer,Marketing,Naukri,2024-11-18,2024-11-27,2024-12-08,,,Rejected
C00070,Marketing Specialist,Tech,Naukri,2023-09-18,2023-09-19,2023-09-21,2023-09-27,2023-10-16,Hired
C00071,Data Scientist,Marketing,LinkedIn,2023-11-01,2023-11-08,2023-11-21,2023-11-23,,Rejected
C00072,Product Manager,Sales,LinkedIn,2024-10-08,2024-10-09,,,,Dropped
C00073,Software Engineer,Product,AngelList,2024-12-10,,,,,Hired
C00074,Data Scientist,HR,LinkedIn,2024-08-18,2024-08-27,2024-09-07,2024-09-14,,Dropped
C00075,Software Engineer,Marketing,LinkedIn,2024-09-15,2024-09-19,2024-09-27,2024-09-29,2024-10-09,Hired
C00076,HR Manager,Marketing,Referral,2023-10-23,2023-11-02,2023-11-09,,,Dropped
C00077,Product Manager,Tech,AngelList,2024-02-14,2024-02-20,2024-02-22,2024-02-23,,Dropped
C00078,HR Manager,Tech,Company Website,2024-11-07,2024-11-13,,,,Hired
C00079,Marketing Specialist,Product,LinkedIn,2025-02-19,2025-02-27,2025-03-02,,,Hired
C00080,Product Manager,Sales,Company Website,2024-02-26,2024-03-04,2024-03-15,2024-03-19,,Rejected
C00081,Data Scientist,Marketing,Company Website,2025-08-21,2025-08-28,2025-09-07,,,Hired
